url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genre_1,decade
http://www.billboard.com/charts/hot-100/1962-04-07,4/7/1962,60,The Twist,Chubby Checker,The TwistChubby Checker,2,44,1,40,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1966-10-29,10/29/1966,35,Wipe Out,The Surfaris,Wipe OutThe Surfaris,2,30,16,30,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1966-10-29,10/29/1966,35,Wipe Out,The Surfaris,Wipe OutThe Surfaris,2,30,16,30,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,28,The Little Drummer Boy,The Harry Simeone Chorale,The Little Drummer BoyThe Harry Simeone Chorale,5,33,28,29,Seasonal,1958-1969
http://www.billboard.com/charts/hot-100/1966-01-22,1/22/1966,48,Harlem Nocturne,The Viscounts,Harlem NocturneThe Viscounts,2,42,39,29,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1960-04-16,4/16/1960,91,Running Bear,Johnny Preston,Running BearJohnny Preston,2,81,1,27,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-06-09,6/9/1962,54,Moon River,Henry Mancini And His Orchestra,Moon RiverHenry Mancini And His Orchestra,2,44,32,27,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1962-06-09,6/9/1962,54,Moon River,Henry Mancini And His Orchestra,Moon RiverHenry Mancini And His Orchestra,2,44,32,27,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1959-10-17,10/17/1959,85,Robbin' The Cradle,Tony Bellus,Robbin' The CradleTony Bellus,1,84,25,26,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1959-10-17,10/17/1959,85,Robbin' The Cradle,Tony Bellus,Robbin' The CradleTony Bellus,1,84,25,26,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-02-13,2/13/1960,76,Mack The Knife,Bobby Darin,Mack The KnifeBobby Darin,1,59,1,26,Classical,1958-1969
http://www.billboard.com/charts/hot-100/1960-02-13,2/13/1960,76,Mack The Knife,Bobby Darin,Mack The KnifeBobby Darin,1,59,1,26,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1960-02-13,2/13/1960,76,Mack The Knife,Bobby Darin,Mack The KnifeBobby Darin,1,59,1,26,Vocal/Easy Listening,1958-1969
http://www.billboard.com/charts/hot-100/1960-02-13,2/13/1960,76,Mack The Knife,Bobby Darin,Mack The KnifeBobby Darin,1,59,1,26,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-11-05,11/5/1960,69,Finger Poppin' Time,Hank Ballard And The Midnighters,Finger Poppin' TimeHank Ballard And The Midnighters,1,57,7,26,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1961-07-15,7/15/1961,74,Never On Sunday,Don Costa And His Orchestra And Chorus,Never On SundayDon Costa And His Orchestra And Chorus,2,59,37,26,Vocal/Easy Listening,1958-1969
http://www.billboard.com/charts/hot-100/1968-09-21,9/21/1968,25,Sunshine Of Your Love,Cream,Sunshine Of Your LoveCream,2,13,5,26,Classic Rock,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-17,1/17/1959,90,Chantilly Lace,Big Bopper,Chantilly LaceBig Bopper,1,67,6,25,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1969-10-18,10/18/1969,28,Get Together,The Youngbloods,Get TogetherThe Youngbloods,2,16,5,25,Folk Rock,1958-1969
http://www.billboard.com/charts/hot-100/1959-03-21,3/21/1959,77,A Lover's Question,Clyde McPhatter,A Lover's QuestionClyde McPhatter,2,53,6,24,Classic R&B,1958-1969
http://www.billboard.com/charts/hot-100/1959-03-21,3/21/1959,77,A Lover's Question,Clyde McPhatter,A Lover's QuestionClyde McPhatter,2,53,6,24,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-05-28,5/28/1960,63,Sweet Nothin's,Brenda Lee,Sweet Nothin'sBrenda Lee,1,32,4,24,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-07-09,7/9/1960,61,Sixteen Reasons,Connie Stevens,Sixteen ReasonsConnie Stevens,1,40,3,24,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-02-03,2/3/1962,54,Let's Twist Again,Chubby Checker,Let's Twist AgainChubby Checker,2,52,22,24,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-02-10,2/10/1962,67,Please Mr. Postman,The Marvelettes,Please Mr. PostmanThe Marvelettes,1,50,1,24,Classic Soul,1958-1969
http://www.billboard.com/charts/hot-100/1962-02-10,2/10/1962,67,Please Mr. Postman,The Marvelettes,Please Mr. PostmanThe Marvelettes,1,50,1,24,Blues,1958-1969
http://www.billboard.com/charts/hot-100/1962-02-10,2/10/1962,67,Please Mr. Postman,The Marvelettes,Please Mr. PostmanThe Marvelettes,1,50,1,24,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1962-02-10,2/10/1962,67,Please Mr. Postman,The Marvelettes,Please Mr. PostmanThe Marvelettes,1,50,1,24,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-03-10,3/10/1962,64,Dreamy Eyes,Johnny Tillotson,Dreamy EyesJohnny Tillotson,3,53,35,24,Country,1958-1969
http://www.billboard.com/charts/hot-100/1959-04-25,4/25/1959,98,Donna,Ritchie Valens,DonnaRitchie Valens,1,49,2,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1960-05-28,5/28/1960,54,He'll Have To Go,Jim Reeves,He'll Have To GoJim Reeves,1,37,2,23,Country music,1958-1969
http://www.billboard.com/charts/hot-100/1960-05-28,5/28/1960,54,He'll Have To Go,Jim Reeves,He'll Have To GoJim Reeves,1,37,2,23,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1960-05-28,5/28/1960,54,He'll Have To Go,Jim Reeves,He'll Have To GoJim Reeves,1,37,2,23,Folk,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Classical,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Vocal/Easy Listening,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Country,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,85,I'm Sorry,Brenda Lee,I'm SorryBrenda Lee,1,63,1,23,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1961-02-18,2/18/1961,50,North To Alaska,Johnny Horton,North To AlaskaJohnny Horton,1,35,4,23,Country,1958-1969
http://www.billboard.com/charts/hot-100/1961-09-23,9/23/1961,52,Tossin' And Turnin',Bobby Lewis,Tossin' And Turnin'Bobby Lewis,1,16,1,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1963-02-09,2/9/1963,47,Limbo Rock,Chubby Checker,Limbo RockChubby Checker,1,29,2,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1963-02-09,2/9/1963,47,Limbo Rock,Chubby Checker,Limbo RockChubby Checker,1,29,2,23,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1964-06-13,6/13/1964,48,Tall Cool One,The Wailers,Tall Cool OneThe Wailers,2,41,38,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1968-10-05,10/5/1968,87,Light My Fire,The Doors,Light My FireThe Doors,2,87,87,23,Psychedelic Rock,1958-1969
http://www.billboard.com/charts/hot-100/1968-10-05,10/5/1968,87,Light My Fire,The Doors,Light My FireThe Doors,2,87,87,23,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1969-07-26,7/26/1969,45,But It's Alright,J.J. Jackson,But It's AlrightJ.J. Jackson,2,45,45,23,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1969-11-08,11/8/1969,32,I'll Never Fall In Love Again,Tom Jones,I'll Never Fall In Love AgainTom Jones,2,19,6,23,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,58,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards,1,43,1,22,Classical,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,58,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards,1,43,1,22,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,58,It's All In The Game,Tommy Edwards,It's All In The GameTommy Edwards,1,43,1,22,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-03-26,3/26/1960,94,You Got What It Takes,Marv Johnson,You Got What It TakesMarv Johnson,1,65,10,22,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1960-04-02,4/2/1960,97,El Paso,Marty Robbins,El PasoMarty Robbins,1,86,1,22,Country music,1958-1969
http://www.billboard.com/charts/hot-100/1960-04-02,4/2/1960,97,El Paso,Marty Robbins,El PasoMarty Robbins,1,86,1,22,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1960-04-02,4/2/1960,97,El Paso,Marty Robbins,El PasoMarty Robbins,1,86,1,22,Country,1958-1969
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,91,Rock-in Robin,Bobby Day,Rock-in RobinBobby Day,1,69,2,21,Classic Soul,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,59,Topsy II,Cozy Cole,Topsy IICozy Cole,1,42,3,21,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1959-01-31,1/31/1959,93,It's Only Make Believe,Conway Twitty,It's Only Make BelieveConway Twitty,1,65,1,21,Country,1958-1969
http://www.billboard.com/charts/hot-100/1959-02-14,2/14/1959,86,Tom Dooley,The Kingston Trio,Tom DooleyThe Kingston Trio,1,53,1,21,Folk,1958-1969
http://www.billboard.com/charts/hot-100/1959-04-11,4/11/1959,64,16 Candles,The Crests,16 CandlesThe Crests,1,51,2,21,Doo-wop,1958-1969
http://www.billboard.com/charts/hot-100/1959-04-11,4/11/1959,72,Lonely Teardrops,Jackie Wilson,Lonely TeardropsJackie Wilson,1,71,7,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1959-04-25,4/25/1959,86,Stagger Lee,Lloyd Price,Stagger LeeLloyd Price,1,64,1,21,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1959-04-25,4/25/1959,70,I Cried A Tear,LaVern Baker,I Cried A TearLaVern Baker,1,58,6,21,R&B/Soul,1958-1969
http://www.billboard.com/charts/hot-100/1959-09-12,9/12/1959,91,The Battle Of New Orleans,Johnny Horton,The Battle Of New OrleansJohnny Horton,1,42,1,21,Country,1958-1969
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/1960,74,Primrose Lane,Jerry Wallace With The Jewels,Primrose LaneJerry Wallace With The Jewels,1,60,8,21,Country,1958-1969
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/1960,44,Just As Much As Ever,Bob Beckham,Just As Much As EverBob Beckham,2,38,32,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1960-05-28,5/28/1960,74,The Theme From A Summer Place,Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,52,1,21,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1960-07-30,7/30/1960,80,Lonely Weekends,Charlie Rich,Lonely WeekendsCharlie Rich,1,73,22,21,Rock,1958-1969
http://www.billboard.com/charts/hot-100/1960-10-22,10/22/1960,96,Only The Lonely (Know How I Feel),Roy Orbison,Only The Lonely (Know How I Feel)Roy Orbison,1,72,2,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1961-04-01,4/1/1961,49,Exodus,Ferrante & Teicher,ExodusFerrante & Teicher,1,36,2,21,Vocal/Easy Listening,1958-1969
http://www.billboard.com/charts/hot-100/1962-04-28,4/28/1962,76,The Ballad Of Thunder Road,Robert Mitchum,The Ballad Of Thunder RoadRobert Mitchum,3,72,65,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-08-04,8/4/1962,68,Stranger On The Shore,Mr. Acker Bilk,Stranger On The ShoreMr. Acker Bilk,1,53,1,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,63,I Left My Heart In San Francisco,Tony Bennett,I Left My Heart In San FranciscoTony Bennett,1,57,19,21,Classical,1958-1969
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,63,I Left My Heart In San Francisco,Tony Bennett,I Left My Heart In San FranciscoTony Bennett,1,57,19,21,Vocal/Easy Listening,1958-1969
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,63,I Left My Heart In San Francisco,Tony Bennett,I Left My Heart In San FranciscoTony Bennett,1,57,19,21,Jazz,1958-1969
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,63,I Left My Heart In San Francisco,Tony Bennett,I Left My Heart In San FranciscoTony Bennett,1,57,19,21,Pop,1958-1969
http://www.billboard.com/charts/hot-100/1978-05-27,5/27/1978,99,I Go Crazy,Paul Davis,I Go CrazyPaul Davis,1,95,7,40,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1973-12-22,12/22/1973,52,Why Me,Kris Kristofferson,Why MeKris Kristofferson,1,38,16,38,Country music,1970-1979
http://www.billboard.com/charts/hot-100/1973-12-22,12/22/1973,52,Why Me,Kris Kristofferson,Why MeKris Kristofferson,1,38,16,38,Country,1970-1979
http://www.billboard.com/charts/hot-100/1973-09-15,9/15/1973,31,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers","Monster MashBobby ""Boris"" Pickett And The Crypt-Kickers",3,25,10,37,Seasonal,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-06,5/6/1978,59,How Deep Is Your Love,Bee Gees,How Deep Is Your LoveBee Gees,1,55,1,33,Classical,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-06,5/6/1978,59,How Deep Is Your Love,Bee Gees,How Deep Is Your LoveBee Gees,1,55,1,33,Disco,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-06,5/6/1978,59,How Deep Is Your Love,Bee Gees,How Deep Is Your LoveBee Gees,1,55,1,33,Vocal/Easy Listening,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-06,5/6/1978,59,How Deep Is Your Love,Bee Gees,How Deep Is Your LoveBee Gees,1,55,1,33,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1976-01-24,1/24/1976,64,Feelings,Morris Albert,FeelingsMorris Albert,1,66,6,32,Soft rock,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-06,5/6/1978,91,Baby Come Back,Player,Baby Come BackPlayer,1,96,1,32,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1971-06-26,6/26/1971,22,Superstar,Murray Head With The Trinidad Singers,SuperstarMurray Head With The Trinidad Singers,3,17,14,31,Classical,1970-1979
http://www.billboard.com/charts/hot-100/1971-06-26,6/26/1971,22,Superstar,Murray Head With The Trinidad Singers,SuperstarMurray Head With The Trinidad Singers,3,17,14,31,Musicals,1970-1979
http://www.billboard.com/charts/hot-100/1977-11-19,11/19/1977,97,I Just Want To Be Your Everything,Andy Gibb,I Just Want To Be Your EverythingAndy Gibb,1,62,1,31,Country music,1970-1979
http://www.billboard.com/charts/hot-100/1977-11-19,11/19/1977,97,I Just Want To Be Your Everything,Andy Gibb,I Just Want To Be Your EverythingAndy Gibb,1,62,1,31,Disco,1970-1979
http://www.billboard.com/charts/hot-100/1977-11-19,11/19/1977,97,I Just Want To Be Your Everything,Andy Gibb,I Just Want To Be Your EverythingAndy Gibb,1,62,1,31,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1979-01-06,1/6/1979,97,Hot Child In The City,Nick Gilder,Hot Child In The CityNick Gilder,1,99,1,31,Rock,1970-1979
http://www.billboard.com/charts/hot-100/1979-02-03,2/3/1979,93,I Love The Nightlife (Disco 'round),Alicia Bridges,I Love The Nightlife (Disco 'round)Alicia Bridges,1,93,5,31,Disco,1970-1979
http://www.billboard.com/charts/hot-100/1979-02-03,2/3/1979,93,I Love The Nightlife (Disco 'round),Alicia Bridges,I Love The Nightlife (Disco 'round)Alicia Bridges,1,93,5,31,R&B/Soul,1970-1979
http://www.billboard.com/charts/hot-100/1979-02-03,2/3/1979,93,I Love The Nightlife (Disco 'round),Alicia Bridges,I Love The Nightlife (Disco 'round)Alicia Bridges,1,93,5,31,Dance/Electronic,1970-1979
http://www.billboard.com/charts/hot-100/1979-02-03,2/3/1979,93,I Love The Nightlife (Disco 'round),Alicia Bridges,I Love The Nightlife (Disco 'round)Alicia Bridges,1,93,5,31,Rock,1970-1979
http://www.billboard.com/charts/hot-100/1979-02-03,2/3/1979,93,I Love The Nightlife (Disco 'round),Alicia Bridges,I Love The Nightlife (Disco 'round)Alicia Bridges,1,93,5,31,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1976-05-22,5/22/1976,97,Dream On,Aerosmith,Dream OnAerosmith,2,62,6,29,Classic Rock,1970-1979
http://www.billboard.com/charts/hot-100/1976-05-22,5/22/1976,97,Dream On,Aerosmith,Dream OnAerosmith,2,62,6,29,Hard Rock,1970-1979
http://www.billboard.com/charts/hot-100/1977-12-03,12/3/1977,97,Devil's Gun,C.J. & Company,Devil's GunC.J. & Company,1,68,36,29,R&B/Soul,1970-1979
http://www.billboard.com/charts/hot-100/1977-12-03,12/3/1977,97,Devil's Gun,C.J. & Company,Devil's GunC.J. & Company,1,68,36,29,Dance/Electronic,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-20,5/20/1978,93,(Love Is) Thicker Than Water,Andy Gibb,(Love Is) Thicker Than WaterAndy Gibb,1,47,1,29,Country music,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-20,5/20/1978,93,(Love Is) Thicker Than Water,Andy Gibb,(Love Is) Thicker Than WaterAndy Gibb,1,47,1,29,Disco,1970-1979
http://www.billboard.com/charts/hot-100/1978-05-20,5/20/1978,93,(Love Is) Thicker Than Water,Andy Gibb,(Love Is) Thicker Than WaterAndy Gibb,1,47,1,29,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1978-07-01,7/1/1978,99,Disco Inferno,The Trammps,Disco InfernoThe Trammps,2,92,11,29,Dance/Electronic,1970-1979
http://www.billboard.com/charts/hot-100/1974-10-05,10/5/1974,98,One Hell Of A Woman,Mac Davis,One Hell Of A WomanMac Davis,1,54,11,28,Country,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Jazz,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,R&B/Soul,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Seasonal,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Vocal/Easy Listening,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Adult Contemporary,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Alternative/Indie,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Metal,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Rock,1970-1979
http://www.billboard.com/charts/hot-100/1976-03-13,3/13/1976,55,Breaking Up Is Hard To Do,Neil Sedaka,Breaking Up Is Hard To DoNeil Sedaka,2,18,8,28,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1976-04-03,4/3/1976,72,Venus,Frankie Avalon,VenusFrankie Avalon,2,54,46,28,Pop,1970-1979
http://www.billboard.com/charts/hot-100/1976-04-03,4/3/1976,72,Venus,Frankie Avalon,VenusFrankie Avalon,2,54,46,28,Disco,1970-1979
http://www.billboard.com/charts/hot-100/1976-05-01,5/1/1976,71,Love Machine (Part 1),The Miracles,Love Machine (Part 1)The Miracles,1,56,1,28,Classic Soul,1970-1979
